epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.713,1.09581,3.36966,1.27568,0.00481,0.85051,0.39862,0.3237,0.63831,3.32473,0.96419,0.00021671,0.00021671,0.00021671
2,189.35,0.92973,2.08884,1.10018,0.00524,0.86162,0.54659,0.4457,0.7049,3.19519,1.00243,0.000445634,0.000445634,0.000445634
3,283.939,0.94916,2.0736,1.15259,0.98138,0.25659,0.61775,0.50907,0.79833,2.95835,1.07674,0.000669937,0.000669937,0.000669937
4,374.499,0.9536,1.82154,1.12532,0.87841,0.35966,0.51443,0.38571,0.97943,2.95919,1.23971,0.00088962,0.00088962,0.00088962
5,460.993,0.94119,1.70098,1.14754,0.80824,0.35657,0.49712,0.37027,1.02847,2.70781,1.25574,0.00110468,0.00110468,0.00110468
6,560.538,1.03314,1.84239,1.19691,0.52853,0.29697,0.34705,0.20191,1.30469,3.15214,1.40998,0.00131512,0.00131512,0.00131512
7,679.596,1.08894,1.78693,1.175,0.65453,0.45354,0.49832,0.32101,1.21632,2.80623,1.43139,0.00152094,0.00152094,0.00152094
8,802.974,1.02709,1.73657,1.11818,0.48479,0.50564,0.47996,0.33284,1.10092,2.96651,1.34833,0.00155148,0.00155148,0.00155148
9,919.168,1.07392,1.58625,1.20174,0.54931,0.58889,0.53705,0.35858,1.03836,2.95101,1.31462,0.00153497,0.00153497,0.00153497
10,1060.07,0.97924,1.4837,1.12403,0.73489,0.60303,0.65466,0.47315,1.01679,2.06302,1.25968,0.00151847,0.00151847,0.00151847
11,1199.31,0.98972,1.4895,1.18905,0.61371,0.48687,0.59652,0.41316,1.06604,2.43951,1.35193,0.00150197,0.00150197,0.00150197
12,1319.31,0.98604,1.42858,1.15325,0.74669,0.64444,0.74811,0.5724,0.95914,1.62897,1.19397,0.00148546,0.00148546,0.00148546
13,1430.48,1.04622,1.42027,1.16861,0.71709,0.69633,0.73879,0.56881,1.00872,1.62956,1.20181,0.00146896,0.00146896,0.00146896
14,1535.49,0.97526,1.27955,1.11674,0.83937,0.66263,0.75916,0.5428,1.0554,1.59598,1.23776,0.00145246,0.00145246,0.00145246
15,1645.65,0.94878,1.27085,1.12781,0.83734,0.61818,0.74748,0.52871,1.01572,1.65159,1.26396,0.00143595,0.00143595,0.00143595
16,1768.9,0.98238,1.32163,1.18515,0.6029,0.62737,0.59092,0.42838,1.02662,2.02251,1.24843,0.00141945,0.00141945,0.00141945
17,1866.44,0.88721,1.13343,1.07268,0.8572,0.64578,0.77059,0.58148,0.88983,1.4864,1.14279,0.00140295,0.00140295,0.00140295
18,1960.13,0.93288,1.21489,1.13886,0.85011,0.72727,0.79861,0.63141,0.84833,1.23997,1.12971,0.00138644,0.00138644,0.00138644
19,2052.64,0.92284,1.21783,1.1039,0.80825,0.72592,0.77585,0.61554,0.85826,1.27601,1.1402,0.00136994,0.00136994,0.00136994
